keyframe_index,clip,t,is_clip_boundary,bone_name,overlap_class,signed_distance,center_x,center_y,center_z,half_x,half_y,half_z,facing_yaw,state
0,stand_to_sit,0.0000,1,mixamorig:Head,free,0.785509467124939,13.327000617980957,17.27896499633789,14.398768424987793,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.0,sitting_down
0,stand_to_sit,0.0000,1,mixamorig:Spine2,free,0.6807919144630432,13.339776992797852,17.045822143554688,14.370891571044922,0.10000000149011612,0.06548324227333069,0.10000000149011612,0.0,sitting_down
0,stand_to_sit,0.0000,1,mixamorig:Spine1,free,0.6850249171257019,13.341455459594727,16.91811752319336,14.420348167419434,0.10000000149011612,0.046610455960035324,0.10000000149011612,0.0,sitting_down
0,stand_to_sit,0.0000,1,mixamorig:Hips,free,0.6385211944580078,13.333722114562988,16.6083984375,14.405187606811523,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,sitting_down
0,stand_to_sit,0.0000,1,mixamorig:LeftArm,free,0.6675331592559814,13.516672134399414,16.862571716308594,14.401786804199219,0.07000000029802322,0.1392076015472412,0.07000000029802322,0.0,sitting_down
0,stand_to_sit,0.0000,1,mixamorig:RightArm,free,0.643321692943573,13.160868644714355,16.84647560119629,14.378705024719238,0.07000000029802322,0.13920758664608002,0.07000000029802322,0.0,sitting_down
0,stand_to_sit,0.0000,1,mixamorig:LeftForeArm,free,0.6816186904907227,13.553732872009277,16.565486907958984,14.41828441619873,0.07000000029802322,0.1416441649198532,0.07000000029802322,0.0,sitting_down
0,stand_to_sit,0.0000,1,mixamorig:RightForeArm,free,0.668583869934082,13.127894401550293,16.55059051513672,14.40524959564209,0.07000000029802322,0.1416441947221756,0.07000000029802322,0.0,sitting_down
0,stand_to_sit,0.0000,1,mixamorig:LeftUpLeg,free,0.7184314727783203,13.455551147460938,16.33647346496582,14.465097427368164,0.07999999821186066,0.221856951713562,0.07999999821186066,0.0,sitting_down
0,stand_to_sit,0.0000,1,mixamorig:RightUpLeg,free,0.6646862030029297,13.231504440307617,16.338449478149414,14.411352157592773,0.07999999821186066,0.22185730934143066,0.07999999821186066,0.0,sitting_down
0,stand_to_sit,0.0000,1,mixamorig:LeftLeg,free,0.7305936813354492,13.471095085144043,15.920482635498047,14.477259635925293,0.07999999821186066,0.22263923287391663,0.07999999821186066,0.0,sitting_down
0,stand_to_sit,0.0000,1,mixamorig:RightLeg,free,0.6369199752807617,13.263172149658203,15.920821189880371,14.383585929870605,0.07999999821186066,0.2226390540599823,0.07999999821186066,0.0,sitting_down
1,stand_to_sit,0.1429,0,mixamorig:Head,free,0.8026601672172546,13.349798202514648,17.272335052490234,14.425721168518066,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.0,sitting_down
1,stand_to_sit,0.1429,0,mixamorig:Spine2,free,0.6836242079734802,13.304730415344238,17.048343658447266,14.372772216796875,0.10000000149011612,0.06548324227333069,0.10000000149011612,0.0,sitting_down
1,stand_to_sit,0.1429,0,mixamorig:Spine1,free,0.6753880381584167,13.317010879516602,16.917327880859375,14.410492897033691,0.10000000149011612,0.046610455960035324,0.10000000149011612,0.0,sitting_down
1,stand_to_sit,0.1429,0,mixamorig:Hips,free,0.6247329711914062,13.320879936218262,16.609130859375,14.391399383544922,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,sitting_down
1,stand_to_sit,0.1429,0,mixamorig:LeftArm,free,0.5722677111625671,13.494203567504883,16.863313674926758,14.30604362487793,0.07000000029802322,0.1392076015472412,0.07000000029802322,0.0,sitting_down
1,stand_to_sit,0.1429,0,mixamorig:RightArm,free,0.6925351619720459,13.134556770324707,16.858226776123047,14.42721939086914,0.07000000029802322,0.13920758664608002,0.07000000029802322,0.0,sitting_down
1,stand_to_sit,0.1429,0,mixamorig:LeftForeArm,free,0.6688346862792969,13.540687561035156,16.605737686157227,14.405500411987305,0.07000000029802322,0.1416441649198532,0.07000000029802322,0.0,sitting_down
1,stand_to_sit,0.1429,0,mixamorig:RightForeArm,free,0.684051513671875,13.101621627807617,16.561216354370117,14.420717239379883,0.07000000029802322,0.1416441947221756,0.07000000029802322,0.0,sitting_down
1,stand_to_sit,0.1429,0,mixamorig:LeftUpLeg,free,0.6917238235473633,13.446222305297852,16.349607467651367,14.438389778137207,0.07999999821186066,0.221856951713562,0.07999999821186066,0.0,sitting_down
1,stand_to_sit,0.1429,0,mixamorig:RightUpLeg,free,0.6880636215209961,13.221023559570312,16.332731246948242,14.43472957611084,0.07999999821186066,0.22185730934143066,0.07999999821186066,0.0,sitting_down
1,stand_to_sit,0.1429,0,mixamorig:LeftLeg,free,0.7313928604125977,13.472787857055664,15.936576843261719,14.478058815002441,0.07999999821186066,0.22263923287391663,0.07999999821186066,0.0,sitting_down
1,stand_to_sit,0.1429,0,mixamorig:RightLeg,free,0.6493053436279297,13.253811836242676,15.92015552520752,14.395971298217773,0.07999999821186066,0.2226390540599823,0.07999999821186066,0.0,sitting_down
2,stand_to_sit,0.2857,0,mixamorig:Head,free,0.7960615158081055,13.448958396911621,17.224483489990234,14.451520919799805,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.0,sitting_down
2,stand_to_sit,0.2857,0,mixamorig:Spine2,free,0.6791881918907166,13.341166496276855,17.028478622436523,14.377801895141602,0.10000000149011612,0.06548324227333069,0.10000000149011612,0.0,sitting_down
2,stand_to_sit,0.2857,0,mixamorig:Spine1,free,0.6340555548667908,13.342073440551758,16.892580032348633,14.374841690063477,0.10000000149011612,0.046610455960035324,0.10000000149011612,0.0,sitting_down
2,stand_to_sit,0.2857,0,mixamorig:Hips,free,0.5683088302612305,13.307817459106445,16.593019485473633,14.334975242614746,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,sitting_down
2,stand_to_sit,0.2857,0,mixamorig:LeftArm,free,0.4402146339416504,13.467978477478027,16.870779037475586,14.172069549560547,0.07000000029802322,0.1392076015472412,0.07000000029802322,0.0,sitting_down
2,stand_to_sit,0.2857,0,mixamorig:RightArm,free,0.7852755188941956,13.171211242675781,16.846893310546875,14.520869255065918,0.07000000029802322,0.13920758664608002,0.07000000029802322,0.0,sitting_down
2,stand_to_sit,0.2857,0,mixamorig:LeftForeArm,free,0.5120878219604492,13.518625259399414,16.645214080810547,14.248753547668457,0.07000000029802322,0.1416441649198532,0.07000000029802322,0.0,sitting_down
2,stand_to_sit,0.2857,0,mixamorig:RightForeArm,free,0.8133420944213867,13.093809127807617,16.56500816345215,14.550007820129395,0.07000000029802322,0.1416441947221756,0.07000000029802322,0.0,sitting_down
